Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Brett Rypien,DEN,19,31,242,2,3,0,0,48,67.6,5,-5,0,-1,0,0,0,0,0,0,0,202010010,nyj
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,23,107,2,43,3,2,11,0,10,0,0,202010010,nyj
Jeff Driskel,DEN,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0,202010010,nyj
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,3,6,0,3,2,2,6,0,8,0,0,202010010,nyj
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,113,1,40,0,0,202010010,nyj
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,61,1,48,0,0,202010010,nyj
Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,35,0,11,0,0,202010010,nyj
DaeSean Hamilton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0,202010010,nyj
Nick Vannett,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,202010010,nyj
Jake Butt,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202010010,nyj
Sam Darnold,NYJ,23,42,230,0,0,6,54,35,70.5,6,84,1,46,0,0,0,0,0,0,0,202010010,nyj
Joe Flacco,NYJ,2,2,16,0,0,0,0,11,100.0,0,0,0,0,0,0,0,0,0,0,0,202010010,nyj
Frank Gore,NYJ,0,0,0,0,0,0,0,0,,13,30,0,6,2,1,6,0,6,0,0,202010010,nyj
La'Mical Perine,NYJ,0,0,0,0,0,0,0,0,,5,15,0,5,0,0,0,0,0,0,0,202010010,nyj
Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,104,0,35,0,0,202010010,nyj
Jeff Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,81,0,21,0,0,202010010,nyj
Chris Hogan,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,23,0,10,0,0,202010010,nyj
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,11,0,11,0,0,202010010,nyj
Kalen Ballage,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,11,0,7,0,0,202010010,nyj
Ryan Griffin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,10,0,4,0,0,202010010,nyj
Lawrence Cager,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202010010,nyj
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,202010010,nyj
