Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Gardner Minshew II,JAX,14,27,173,2,0,5,19,36,96.7,4,21,0,10,0,0,0,0,0,0,0,202010250,sdg
James Robinson,JAX,0,0,0,0,0,0,0,0,,22,119,1,22,6,4,18,1,9,0,0,202010250,sdg
Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,1,0,0,0,3,3,44,0,36,0,0,202010250,sdg
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,22,0,0,202010250,sdg
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,28,1,28,0,0,202010250,sdg
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,1,26,0,26,0,0,202010250,sdg
Collin Johnson,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202010250,sdg
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,202010250,sdg
Justin Herbert,LAC,27,43,347,3,0,1,2,70,111.3,9,66,1,31,0,0,0,0,0,0,0,202010250,sdg
Easton Stick,LAC,1,1,4,0,0,0,0,4,83.3,1,-2,0,-2,0,0,0,0,0,0,0,202010250,sdg
Joshua Kelley,LAC,0,0,0,0,0,0,0,0,,12,29,0,9,5,5,24,0,10,0,0,202010250,sdg
Joe Reed,LAC,0,0,0,0,0,0,0,0,,2,14,1,7,0,0,0,0,0,0,0,202010250,sdg
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,5,12,0,11,6,5,43,0,14,0,0,202010250,sdg
Tyron Johnson,LAC,0,0,0,0,0,0,0,0,,2,10,0,6,1,0,0,0,0,0,0,202010250,sdg
Troymaine Pope,LAC,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0,202010250,sdg
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,10,125,0,27,0,0,202010250,sdg
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,84,1,70,0,0,202010250,sdg
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,1,26,0,0,202010250,sdg
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,23,0,11,0,0,202010250,sdg
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,1,22,0,0,202010250,sdg
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,4,0,4,0,0,202010250,sdg
Gabe Nabers,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202010250,sdg
