Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Alex Smith,WAS,19,26,149,1,1,3,21,20,83.7,3,1,0,3,0,0,0,0,0,0,0,202011260,dal
Logan Thomas,WAS,1,1,28,0,0,0,0,28,118.7,1,3,0,3,4,4,20,1,6,0,0,202011260,dal
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,20,115,3,37,7,5,21,0,7,0,0,202011260,dal
Peyton Barber,WAS,0,0,0,0,0,0,0,0,,11,57,0,15,0,0,0,0,0,0,0,202011260,dal
J.D. McKissic,WAS,0,0,0,0,0,0,0,0,,1,6,0,6,2,2,21,0,12,0,0,202011260,dal
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,92,0,28,0,0,202011260,dal
Dontrelle Inman,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,202011260,dal
Steven Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,202011260,dal
Andy Dalton,DAL,25,35,215,1,1,3,24,54,84.8,3,17,0,11,0,0,0,0,0,0,0,202011260,dal
CeeDee Lamb,DAL,0,0,0,0,0,1,4,0,,0,0,0,0,7,5,21,0,9,0,0,202011260,dal
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,10,32,0,8,3,1,7,0,7,1,1,202011260,dal
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,4,12,0,5,2,2,10,0,6,0,0,202011260,dal
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,112,1,54,0,0,202011260,dal
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,41,0,19,0,0,202011260,dal
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,24,0,7,0,0,202011260,dal
Noah Brown,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202011260,dal
Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,1,-1,0,-1,0,0,0,0,0,0,0,202011260,dal
