Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Tom Brady,TAM,22,27,348,4,0,1,7,47,158.3,0,0,0,0,0,0,0,0,0,0,0,202012260,det
Blaine Gabbert,TAM,9,15,143,2,0,1,7,35,131.4,2,15,0,16,0,0,0,0,0,1,0,202012260,det
Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,15,62,0,14,2,1,7,0,7,0,0,202012260,det
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,9,34,1,8,3,3,32,0,13,0,0,202012260,det
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,181,2,33,0,0,202012260,det
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,84,1,47,0,0,202012260,det
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,58,2,33,0,0,202012260,det
Antonio Brown,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,1,15,0,0,202012260,det
Tyler Johnson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,35,0,35,0,0,202012260,det
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,16,0,0,202012260,det
Tanner Hudson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0,202012260,det
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,202012260,det
LeSean McCoy,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,202012260,det
Chase Daniel,DET,13,18,86,0,0,3,29,19,82.2,0,0,0,0,0,0,0,0,0,0,0,202012260,det
David Blough,DET,6,10,49,0,1,1,10,20,32.9,1,18,0,18,0,0,0,0,0,0,0,202012260,det
Matthew Stafford,DET,2,3,17,0,0,0,0,15,81.2,0,0,0,0,0,0,0,0,0,0,0,202012260,det
D'Andre Swift,DET,0,0,0,0,0,0,0,0,,10,45,0,14,5,4,25,0,15,1,1,202012260,det
Adrian Peterson,DET,0,0,0,0,0,0,0,0,,4,10,0,9,0,0,0,0,0,0,0,202012260,det
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,37,0,19,0,0,202012260,det
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,23,0,7,0,0,202012260,det
Mohamed Sanu,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,20,0,0,202012260,det
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,19,0,11,0,0,202012260,det
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,10,0,0,202012260,det
Quintez Cephus,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,202012260,det
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202012260,det
