Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Sam Darnold,NYJ,23,34,266,1,2,3,27,53,76.3,1,3,0,3,0,0,0,0,0,0,0,202101030,nwe
Josh Adams,NYJ,0,0,0,0,0,0,0,0,,11,47,1,10,4,2,12,0,11,0,0,202101030,nwe
Ty Johnson,NYJ,0,0,0,0,0,0,0,0,,11,45,0,9,2,2,23,0,15,0,0,202101030,nwe
Braxton Berrios,NYJ,0,0,0,0,0,0,0,0,,2,16,0,15,3,3,20,0,10,0,0,202101030,nwe
Breshad Perriman,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,84,0,53,0,0,202101030,nwe
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,63,1,21,0,0,202101030,nwe
Jamison Crowder,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,31,0,12,0,0,202101030,nwe
Daniel Brown,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,0,0,202101030,nwe
Denzel Mims,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0,202101030,nwe
Vyncint Smith,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202101030,nwe
Cam Newton,NWE,21,30,242,3,0,3,23,31,127.4,11,79,0,49,1,1,19,1,19,0,0,202101030,nwe
Jakobi Meyers,NWE,1,1,19,1,0,0,0,19,158.3,1,7,0,7,7,6,68,0,18,0,0,202101030,nwe
Sony Michel,NWE,0,0,0,0,0,0,0,0,,16,76,0,13,3,3,60,1,31,0,0,202101030,nwe
Damiere Byrd,NWE,0,0,0,0,0,0,0,0,,1,4,0,4,3,1,7,0,7,1,0,202101030,nwe
Devin Asiasi,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,39,1,26,0,0,202101030,nwe
James White,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,31,1,12,0,0,202101030,nwe
N'Keal Harry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,10,0,0,202101030,nwe
Gunner Olszewski,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,12,0,0,202101030,nwe
Dalton Keene,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,202101030,nwe
