Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Dak Prescott,DAL,21,27,295,5,0,1,1,37,151.8,0,0,0,0,0,0,0,0,0,0,0,202201080,phi
Cooper Rush,DAL,1,1,10,0,0,0,0,10,108.3,3,-4,0,-1,0,0,0,0,0,0,0,202201080,phi
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,18,87,0,26,3,1,3,0,3,0,0,202201080,phi
Corey Clement,DAL,0,0,0,0,0,0,0,0,,7,58,0,38,4,4,22,1,8,0,0,202201080,phi
JaQuan Hardy,DAL,0,0,0,0,0,0,0,0,,3,26,1,22,0,0,0,0,0,0,0,202201080,phi
Ito Smith,DAL,0,0,0,0,0,0,0,0,,1,4,1,4,0,0,0,0,0,0,0,202201080,phi
Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,119,2,37,0,0,202201080,phi
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,79,0,27,0,0,202201080,phi
CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,45,0,31,0,0,202201080,phi
Dalton Schultz,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,2,10,0,0,202201080,phi
Jeremy Sprinkle,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,202201080,phi
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0,202201080,phi
Gardner Minshew II,PHI,19,33,186,2,1,3,22,36,81.1,5,10,0,4,0,0,0,0,0,0,0,202201080,phi
Greg Ward,PHI,1,1,2,0,0,0,0,2,79.2,0,0,0,0,2,1,2,0,2,0,0,202201080,phi
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,12,78,1,18,7,4,9,0,9,0,0,202201080,phi
Jason Huntley,PHI,0,0,0,0,0,0,0,0,,13,51,0,18,1,0,0,0,0,0,0,202201080,phi
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,3,10,0,7,3,2,19,0,12,0,0,202201080,phi
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,84,1,36,0,0,202201080,phi
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,41,0,25,0,0,202201080,phi
Tyree Jackson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,22,1,13,0,0,202201080,phi
Richard Rodgers,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,9,0,0,202201080,phi
JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,202201080,phi
