Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Andy Dalton,CHI,33,48,325,1,2,7,59,23,77.2,1,7,0,7,0,0,0,0,0,0,0,202201090,min
David Montgomery,CHI,0,0,0,0,0,0,0,0,,20,72,0,11,3,2,7,0,4,0,0,202201090,min
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,4,11,0,4,0,0,0,0,0,0,0,202201090,min
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,16,12,126,0,19,0,0,202201090,min
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,48,0,20,0,0,202201090,min
Damiere Byrd,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,47,0,14,0,0,202201090,min
Damien Williams,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,33,1,23,0,0,202201090,min
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,16,0,0,202201090,min
Jimmy Graham,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,10,0,0,202201090,min
Marquise Goodwin,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,8,0,0,202201090,min
Dazz Newsome,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0,202201090,min
Kirk Cousins,MIN,14,22,250,3,0,3,23,45,142.0,1,-1,0,-1,0,0,0,0,0,1,0,202201090,min
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,14,79,0,29,1,1,3,0,3,0,0,202201090,min
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,5,18,0,9,1,1,3,0,3,0,0,202201090,min
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1,4,0,4,7,5,107,1,45,0,0,202201090,min
Kene Nwangwu,MIN,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0,202201090,min
Ihmir Smith-Marsette,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,103,1,44,0,0,202201090,min
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,21,1,21,0,0,202201090,min
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,202201090,min
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,6,0,9,0,0,202201090,min
