Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Andy Dalton,NOR,30,47,361,4,3,0,0,64,89.1,4,21,0,14,0,0,0,0,0,0,0,202210200,crd
Taysom Hill,NOR,2,2,48,0,0,0,0,41,118.7,3,9,0,3,1,1,3,1,3,0,0,202210200,crd
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,49,0,17,9,7,56,0,12,0,0,202210200,crd
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,4,6,0,5,3,3,16,0,11,0,0,202210200,crd
Chris Olave,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,106,0,41,0,0,202210200,crd
Kevin White,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,64,0,64,0,0,202210200,crd
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,59,0,20,0,0,202210200,crd
Rashid Shaheed,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,53,1,53,0,0,202210200,crd
Juwan Johnson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,32,2,17,0,0,202210200,crd
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,20,0,12,0,0,202210200,crd
Kyler Murray,ARI,20,29,204,1,0,2,15,31,100.4,7,30,0,17,0,0,0,0,0,1,0,202210200,crd
Eno Benjamin,ARI,0,0,0,0,0,0,0,0,,12,92,1,45,5,4,21,0,16,0,0,202210200,crd
Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,,9,14,1,11,2,2,23,0,24,0,0,202210200,crd
Greg Dortch,ARI,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,5,1,5,0,0,202210200,crd
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,14,10,103,0,18,1,0,202210200,crd
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,31,0,31,0,0,202210200,crd
Zach Ertz,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,15,0,0,202210200,crd
Robbie Chosen,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202210200,crd
