Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Geno Smith,SEA,25,40,215,1,1,2,15,39,74.5,3,16,0,9,0,0,0,0,0,0,0,202212240,kan
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,26,107,0,20,2,2,-2,0,0,0,0,202212240,kan
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,2,10,0,8,6,6,32,0,8,0,0,202212240,kan
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,81,0,35,0,0,202212240,kan
Colby Parkinson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,45,0,39,0,0,202212240,kan
Laquon Treadwell,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,26,0,17,0,0,202212240,kan
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,0,19,0,0,202212240,kan
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,1,6,0,0,202212240,kan
Penny Hart,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0,202212240,kan
Marquise Goodwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,202212240,kan
Patrick Mahomes,KAN,16,28,224,2,0,1,4,52,106.8,2,8,1,5,0,0,0,0,0,0,0,202212240,kan
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,14,58,0,8,2,1,32,0,32,0,0,202212240,kan
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,5,7,0,5,3,3,31,1,16,0,0,202212240,kan
Ronald Jones II,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0,202212240,kan
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,113,0,52,0,0,202212240,kan
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,27,0,13,0,0,202212240,kan
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,202212240,kan
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,1,8,0,0,202212240,kan
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,202212240,kan
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202212240,kan
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,202212240,kan
