Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Trevor Lawrence,JAX,17,21,152,0,1,1,8,30,77.0,2,4,0,4,0,0,0,0,0,1,0,202301010,htx
C.J. Beathard,JAX,5,8,29,0,1,1,5,11,29.7,0,0,0,0,0,0,0,0,0,0,0,202301010,htx
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,9,108,1,62,3,3,32,0,30,0,0,202301010,htx
Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,,10,33,1,11,6,6,23,0,11,0,0,202301010,htx
Snoop Conner,JAX,0,0,0,0,0,0,0,0,,5,17,1,8,0,0,0,0,0,0,0,202301010,htx
Evan Engram,JAX,0,0,0,0,0,0,0,0,,1,13,0,13,2,1,16,0,16,0,0,202301010,htx
Marvin Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,61,0,17,0,0,202301010,htx
Zay Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,24,0,11,0,0,202301010,htx
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,13,0,0,202301010,htx
Dan Arnold,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202301010,htx
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,2,-6,0,0,1,1,4,0,4,0,0,202301010,htx
Davis Mills,HOU,22,40,202,0,0,1,9,29,69.0,4,33,0,13,0,0,0,0,0,1,1,202301010,htx
Jeff Driskel,HOU,3,4,9,0,0,1,9,5,77.1,2,7,0,7,0,0,0,0,0,0,0,202301010,htx
Dare Ogunbowale,HOU,0,0,0,0,0,0,0,0,,7,21,0,9,3,2,4,0,2,0,0,202301010,htx
Royce Freeman,HOU,0,0,0,0,0,0,0,0,,7,19,0,5,5,3,20,0,9,0,0,202301010,htx
Amari Rodgers,HOU,0,0,0,0,0,0,0,0,,1,4,0,4,2,2,12,0,10,0,0,202301010,htx
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,39,0,17,0,0,202301010,htx
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,38,0,29,0,0,202301010,htx
O.J. Howard,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,0,26,0,0,202301010,htx
Chris Moore,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,12,0,0,202301010,htx
Brevin Jordan,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,20,0,20,0,0,202301010,htx
Phillip Dorsett,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,14,0,7,0,0,202301010,htx
Rex Burkhead,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,10,0,5,0,0,202301010,htx
Troy Hairston,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,202301010,htx
