Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Desmond Ridder,ATL,19,31,191,1,2,4,31,33,62.7,1,6,0,6,0,0,0,0,0,1,1,202310010,jax
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,14,105,0,38,5,5,32,0,9,0,0,202310010,jax
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,7,16,0,9,2,1,-4,0,-4,0,0,202310010,jax
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,95,0,33,0,0,202310010,jax
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,28,1,15,0,0,202310010,jax
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,13,0,0,202310010,jax
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,10,0,0,202310010,jax
Mack Hollins,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,202310010,jax
MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202310010,jax
Trevor Lawrence,JAX,23,30,207,1,0,2,12,30,105.8,8,42,0,22,0,0,0,0,0,0,0,202310010,jax
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,20,55,0,7,3,3,17,0,8,0,0,202310010,jax
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,3,10,0,6,0,0,0,0,0,0,0,202310010,jax
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,84,0,30,0,0,202310010,jax
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,59,0,19,1,0,202310010,jax
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,38,1,30,0,0,202310010,jax
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,7,0,0,202310010,jax
Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202310010,jax
Tim Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0,202310010,jax
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0,202310010,jax
