Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Trevor Lawrence,JAX,24,32,292,1,1,3,21,56,100.0,1,10,0,10,0,0,0,0,0,0,0,202310290,pit
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,24,79,0,13,6,3,70,1,56,0,0,202310290,pit
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,3,9,0,9,0,0,0,0,0,1,1,202310290,pit
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,2,8,0,4,0,0,0,0,0,0,0,202310290,pit
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,10,10,88,0,34,1,1,202310290,pit
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,83,0,27,0,0,202310290,pit
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,46,0,29,0,0,202310290,pit
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,202310290,pit
Mitchell Trubisky,PIT,15,27,138,1,2,2,15,22,51.2,3,18,0,8,0,0,0,0,0,0,0,202310290,pit
Kenny Pickett,PIT,10,16,73,0,0,1,5,16,73.2,1,10,0,10,0,0,0,0,0,1,0,202310290,pit
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,5,19,0,8,5,4,19,0,11,0,0,202310290,pit
Najee Harris,PIT,0,0,0,0,0,0,0,0,,7,13,0,3,5,5,42,0,13,0,0,202310290,pit
Calvin Austin III,PIT,0,0,0,0,0,0,0,0,,2,10,0,10,2,2,19,0,12,0,0,202310290,pit
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,14,8,85,0,16,0,0,202310290,pit
Connor Heyward,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,24,0,9,0,0,202310290,pit
George Pickens,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,22,1,22,0,0,202310290,pit
Allen Robinson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202310290,pit
Rodney Williams,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202310290,pit
