Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Patrick Mahomes,KAN,21,33,210,1,1,3,21,27,79.1,4,26,0,10,0,0,0,0,0,0,0,202312030,gnb
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,18,110,1,26,4,3,13,0,7,0,0,202312030,gnb
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,2,6,0,5,2,1,8,0,8,0,0,202312030,gnb
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,1,6,0,6,0,0,0,0,0,0,0,202312030,gnb
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,81,0,27,0,0,202312030,gnb
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,64,0,13,0,0,202312030,gnb
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,25,0,16,0,0,202312030,gnb
Richie James,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,12,0,12,0,0,202312030,gnb
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,202312030,gnb
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0,202312030,gnb
Jordan Love,GNB,25,36,267,3,0,2,14,33,118.6,2,10,0,8,0,0,0,0,0,0,0,202312030,gnb
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,18,73,0,10,1,1,14,0,14,0,0,202312030,gnb
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,2,29,0,24,1,0,0,0,0,0,0,202312030,gnb
Christian Watson,GNB,0,0,0,0,0,0,0,0,,2,15,0,13,9,7,71,2,19,0,0,202312030,gnb
James Robinson,GNB,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,-2,0,-2,0,0,202312030,gnb
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,72,0,33,0,0,202312030,gnb
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,43,0,27,0,0,202312030,gnb
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,37,0,19,0,0,202312030,gnb
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,16,0,9,0,0,202312030,gnb
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0,202312030,gnb
Ben Sims,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0,202312030,gnb
