Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Gardner Minshew II,IND,20,37,201,0,1,6,31,18,58.5,4,31,0,23,0,0,0,0,0,0,0,202312240,atl
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,18,43,1,13,1,0,0,0,0,0,0,202312240,atl
Tyler Goodson,IND,0,0,0,0,0,0,0,0,,1,15,0,15,2,1,15,0,15,0,0,202312240,atl
Trey Sermon,IND,0,0,0,0,0,0,0,0,,2,3,0,4,0,0,0,0,0,0,0,202312240,atl
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,62,0,16,0,0,202312240,atl
Will Mallory,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,47,0,18,1,0,202312240,atl
Josh Downs,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,39,0,14,0,0,202312240,atl
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,30,0,16,0,0,202312240,atl
D.J. Montgomery,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,8,0,8,0,0,202312240,atl
Mo Alie-Cox,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202312240,atl
Taylor Heinicke,ATL,23,33,229,1,0,1,0,24,99.2,2,10,0,10,0,0,0,0,0,1,0,202312240,atl
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,12,72,0,32,10,7,50,0,14,0,0,202312240,atl
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,9,69,1,31,1,1,19,0,19,0,0,202312240,atl
Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,7,26,0,11,2,2,7,0,11,0,0,202312240,atl
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,1,24,0,0,202312240,atl
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,39,0,19,0,0,202312240,atl
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,32,0,15,0,0,202312240,atl
Scott Miller,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0,202312240,atl
Van Jefferson,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0,202312240,atl
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,202312240,atl
