Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Josh Allen,BUF,16,29,180,0,0,3,27,52,73.9,5,21,0,8,0,0,0,0,0,1,1,202409290,rav
Mitchell Trubisky,BUF,1,2,2,0,0,0,0,2,56.2,0,0,0,0,0,0,0,0,0,0,0,202409290,rav
James Cook,BUF,0,0,0,0,0,0,0,0,,9,39,0,8,1,1,9,0,9,0,0,202409290,rav
Ray Davis,BUF,0,0,0,0,0,0,0,0,,7,11,0,7,0,0,0,0,0,0,0,202409290,rav
Curtis Samuel,BUF,0,0,0,0,0,0,0,0,,1,7,0,7,2,2,8,0,6,0,0,202409290,rav
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,1,3,1,3,0,0,0,0,0,0,0,202409290,rav
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,62,0,52,0,0,202409290,rav
Keon Coleman,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,51,0,24,0,0,202409290,rav
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,47,0,25,0,0,202409290,rav
Mack Hollins,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,5,0,5,0,0,202409290,rav
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,202409290,rav
Marquez Valdes-Scantling,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202409290,rav
Lamar Jackson,BAL,13,18,156,2,0,1,1,26,135.4,6,54,1,19,0,0,0,0,0,1,1,202409290,rav
Josh Johnson,BAL,1,1,1,0,0,0,0,1,79.2,0,0,0,0,0,0,0,0,0,0,0,202409290,rav
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,24,199,1,87,3,3,10,1,5,1,0,202409290,rav
Justice Hill,BAL,0,0,0,0,0,0,0,0,,4,18,0,11,6,6,78,1,19,0,0,202409290,rav
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,26,0,26,0,0,202409290,rav
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0,202409290,rav
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,12,0,0,202409290,rav
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,202409290,rav
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,202409290,rav
