Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Josh Allen,BUF,22,37,280,0,2,2,0,44,60.6,8,50,1,21,0,0,0,0,0,0,0,202411100,clt
James Cook,BUF,0,0,0,0,0,0,0,0,,19,80,1,20,3,1,5,0,5,0,0,202411100,clt
Ray Davis,BUF,0,0,0,0,0,0,0,0,,3,6,0,4,0,0,0,0,0,0,0,202411100,clt
Mack Hollins,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,86,0,44,0,0,202411100,clt
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,58,0,30,0,0,202411100,clt
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,40,0,34,0,0,202411100,clt
Curtis Samuel,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,35,0,17,0,0,202411100,clt
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,17,0,0,202411100,clt
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,24,0,12,0,0,202411100,clt
Mitchell Trubisky,BUF,0,0,0,0,0,0,0,0,,1,-1,0,0,0,0,0,0,0,0,0,202411100,clt
Joe Flacco,IND,26,35,272,2,3,4,32,32,79.7,0,0,0,0,0,0,0,0,0,1,1,202411100,clt
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,21,114,0,58,4,2,8,0,6,0,0,202411100,clt
Ashton Dulin,IND,0,0,0,0,0,0,0,0,,1,7,0,7,0,0,0,0,0,0,0,202411100,clt
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,81,1,32,0,0,202411100,clt
Josh Downs,IND,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,72,0,21,0,0,202411100,clt
Adonai Mitchell,IND,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,71,0,18,1,0,202411100,clt
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,12,0,0,202411100,clt
Will Mallory,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0,202411100,clt
Tyler Goodson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,9,1,7,0,0,202411100,clt
Trey Sermon,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,202411100,clt
Andrew Ogletree,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0,202411100,clt
