Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Sam Darnold,MIN,20,32,246,2,0,2,10,47,107.0,8,18,1,6,0,0,0,0,0,1,1,202411170,oti
Aaron Jones,MIN,0,0,0,0,0,0,0,0,,15,39,0,5,1,1,4,0,4,1,0,202411170,oti
Cam Akers,MIN,0,0,0,0,0,0,0,0,,10,25,0,12,2,2,11,1,8,0,0,202411170,oti
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,81,0,31,0,0,202411170,oti
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,61,1,47,0,0,202411170,oti
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,0,21,0,0,202411170,oti
Trent Sherfield,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0,202411170,oti
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,9,0,0,202411170,oti
Brandon Powell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202411170,oti
Johnny Mundt,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0,202411170,oti
Jalen Nailor,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,202411170,oti
Will Levis,TEN,17,31,295,1,1,5,34,98,84.7,7,18,0,10,0,0,0,0,0,0,0,202411170,oti
Tony Pollard,TEN,0,0,0,0,0,0,0,0,,9,15,0,4,4,2,14,0,10,0,0,202411170,oti
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,117,1,98,0,0,202411170,oti
Calvin Ridley,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,58,0,21,0,0,202411170,oti
Tyler Boyd,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,34,0,30,0,0,202411170,oti
Bryce Oliver,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,33,0,33,0,0,202411170,oti
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,19,0,12,0,0,202411170,oti
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,,3,0,0,4,3,2,8,0,5,0,0,202411170,oti
Nick Vannett,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,202411170,oti
Josh Whyle,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,202411170,oti
