Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att.1,Yds.2,TD.1,Lng.1,Tgt,Rec,Yds.3,TD.2,Lng.2,Fmb,FL,fecha,team
Brock Purdy,SFO,26,40,313,2,1,3,20,28,95.1,4,26,0,16,0,0,0,0,0,0,0,202412220,mia
Deebo Samuel,SFO,0,0,0,0,0,0,0,0,,5,25,0,13,9,7,96,1,27,0,0,202412220,mia
Patrick Taylor,SFO,0,0,0,0,0,0,0,0,,8,24,0,9,5,1,1,0,1,0,0,202412220,mia
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,1,6,0,6,3,1,20,0,20,0,0,202412220,mia
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,106,0,28,0,0,202412220,mia
Jauan Jennings,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,51,0,17,0,0,202412220,mia
Ricky Pearsall,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,37,0,21,0,0,202412220,mia
Eric Saubert,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,2,0,0,202412220,mia
Tua Tagovailoa,MIA,22,34,215,1,0,0,0,24,92.2,2,-1,0,0,0,0,0,0,0,1,0,202412220,mia
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,17,120,1,50,7,6,70,0,20,0,0,202412220,mia
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,8,31,0,21,2,2,15,0,13,0,0,202412220,mia
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,2,12,0,6,0,0,0,0,0,0,0,202412220,mia
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0,202412220,mia
Jonnu Smith,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,62,0,22,0,0,202412220,mia
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,29,1,24,0,0,202412220,mia
Malik Washington,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,28,0,19,0,0,202412220,mia
River Cracraft,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,6,0,6,0,0,202412220,mia
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,202412220,mia
